名前,ウェブサイト,距離と料理の種類,スローガン,評価,昼間の料金,夜間の料金
北海道料理 海鮮と日本酒居酒屋 羽根川 日本橋,https://tabelog.com/tokyo/A1302/A130202/13211100/,日本橋駅 205m / 居酒屋、焼き鳥、海鮮,【本日個室空き有】日本橋1分/東京駅3分！個室は2〜80名様まで★3Hコース4000円〜♪,3.15,"￥2,000～￥2,999","￥3,000～￥3,999"
全席個室 紀州備長炭 炭焼き地鶏 佐藤 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13261278/,三越前駅 74m / 居酒屋、焼き鳥、海鮮,週末は予約必須！三越前徒歩30秒！駅を出てすぐという最高の立地です！,3.1,-,"￥3,000～￥3,999"
Focacceria la Brianza,https://tabelog.com/tokyo/A1302/A130202/13226416/,日本橋駅 130m / イタリアン、パスタ、ピザ,日本橋駅高島屋新館６F♦ブリアンツァ代表奥野が愛したフォカッチャ・ディ・レッコと日本酒新政,3.49,"￥2,000～￥2,999","￥6,000～￥7,999"
近江うし焼肉 にくTATSU 日本橋室町店,https://tabelog.com/tokyo/A1302/A130202/13295208/,新日本橋駅 177m / 焼肉、ステーキ、居酒屋,"銀座線三越前駅直結徒歩２分 全席個室の近江うし焼肉 ""trust&treat""信頼とご褒美を！",3.5,"￥3,000～￥3,999","￥8,000～￥9,999"
東京焼肉 一頭や コレド室町テラス店,https://tabelog.com/tokyo/A1302/A130202/13238432/,新日本橋駅 170m / 焼肉、ステーキ、居酒屋,創業1970年の和牛焼肉平城苑が『松阪牛』を気軽に楽しむをコンセプトの新業態をプロデュース,3.5,"￥1,000～￥1,999","￥8,000～￥9,999"
完全個室居酒屋 椿 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13264583/,日本橋駅 179m / 居酒屋、焼き鳥、もつ鍋,"【日本橋駅1分】3時間飲み放題×海鮮番屋⇒3,800円～《扉付完全個室》2名様～ご用意♪",3.09,"￥2,000～￥2,999","￥3,000～￥3,999"
炭火焼鳥専門 全席個室居酒屋 吟八 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13261279/,三越前駅 77m / 居酒屋、焼き鳥、海鮮,全席完全個室♪三越前徒歩30秒！駅を出てすぐという最高の立地です！,3.09,-,"￥3,000～￥3,999"
日本酒と串焼き みなと屋 第1 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13155446/,日本橋駅 287m / 焼き鳥、居酒屋、日本酒バー,【日本橋駅1分】全国の銘酒と旨い肴を愉しむ大人のための和風居酒屋◆日本酒飲み放題コースあり,3.42,"￥4,000～￥4,999","￥5,000～￥5,999"
韓国料理 土火土火,https://tabelog.com/tokyo/A1302/A130202/13027629/,日本橋駅 270m / 韓国料理、焼肉、居酒屋,【日本橋駅2分/完全個室】大人の隠れ家で絶品韓国料理♪本格派の多彩な料理をリーズナブルに◎,3.23,"￥1,000～￥1,999","￥4,000～￥4,999"
SOYA,https://tabelog.com/tokyo/A1302/A130202/13112210/,銀座駅 592m / イタリアン、パスタ、ワインバー,古民家空間に包まれ、旬の恵みと自然派ワインに酔うイタリアン,3.41,-,"￥8,000～￥9,999"
和食日和 おさけと 日本橋三越前,https://tabelog.com/tokyo/A1302/A130202/13292233/,新日本橋駅 177m / 日本料理、海鮮、居酒屋,【三越前駅直結】「寛ぎの別邸」そこは誰にも教えたくない大人の社交場＜個室・半個室完備＞,3.2,"￥2,000～￥2,999","￥10,000～￥14,999"
和食 炭とけむり 日本橋八重洲店,https://tabelog.com/tokyo/A1302/A130202/13285896/,日本橋駅 304m / 居酒屋、海鮮、焼き鳥,ニューオープン♪宴会は当店『 炭とけむり 八重洲日本橋店 』へ♪分煙にて喫煙可（紙たばこOK）,3.26,～￥999,"￥3,000～￥3,999"
北に昇がる,https://tabelog.com/tokyo/A1302/A130202/13290971/,新日本橋駅 229m / 居酒屋,【新日本橋駅・神田駅3分】富山県氷見の放牧豚を美味しく食べることに特化した豚肉専門店,3.07,"￥1,000～￥1,999","￥8,000～￥9,999"
完全個室 喜楽酒場 絆,https://tabelog.com/tokyo/A1302/A130202/13270693/,日本橋駅 190m / 居酒屋、焼き鳥、海鮮,"本日個室空席あり★3時間飲み放題×創彩和食⇒4,000円～/2H飲み放題1,500円",3.09,-,"￥2,000～￥2,999"
楽福居 餃子酒場 三越前店,https://tabelog.com/tokyo/A1302/A130202/13294785/,新日本橋駅 108m / 中華料理、餃子、居酒屋,新日本橋駅すぐ◆本場中華料理を食べ飲み放題で満喫◎ランチ・ディナーOK！団体様・宴会歓迎♪,3.1,～￥999,"￥3,000～￥3,999"
全席個室 夢や京町しずく 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13104843/,東京駅 344m / 居酒屋、海鮮、焼き鳥,ご宴会予約受付中！八重洲北口徒歩2分★完全個室★２H飲放題付コース4300円～,3.09,-,"￥3,000～￥3,999"
四季彩 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13274520/,東京駅 341m / 居酒屋、海鮮、焼き鳥,【東京駅21番出口徒歩10秒】九州料理と鮮魚・拘りの地酒の個室居酒屋 │インボイス対応店◎,3.3,"￥3,000～￥3,999","￥4,000～￥4,999"
はなこま 東京駅前店 別邸,https://tabelog.com/tokyo/A1302/A130202/13284370/,日本橋駅 308m / 居酒屋、海鮮、おでん,【日本橋駅徒歩2分】おでんや比内地鶏の多彩な地鶏料理、炉端焼きがウリです。2H飲み放題も！,3.08,～￥999,"￥3,000～￥3,999"
モダン懐石 やまかわ,https://tabelog.com/tokyo/A1302/A130202/13308318/,三越前駅 129m / 日本料理,【三越前駅1分】伝統技術と現代の感性が響き合う、新たな一皿。旬を極めたモダン懐石の粋を堪能,3.05,"￥1,000～￥1,999","￥8,000～￥9,999"
全席個室 湊一や 日本橋八重洲店,https://tabelog.com/tokyo/A1302/A130202/13100202/,日本橋駅 245m / 居酒屋、海鮮、鍋,各種ご宴会予約受付中！東京駅八重洲北口徒歩３分！各種ご宴会コースは4300円～♪,3.08,-,"￥4,000～￥4,999"
奏す庵,https://tabelog.com/tokyo/A1302/A130202/13271711/,三越前駅 181m / かつ丼、とんかつ,三越前駅直結◆福井の美味しいおつまみと地酒、看板メニューのワセカツ丼を満喫！団体利用歓迎◎,3.47,"￥1,000～￥1,999","￥3,000～￥3,999"
マンダリンバー,https://tabelog.com/tokyo/A1302/A130202/13020363/,三越前駅 200m / バー、ワインバー、日本酒バー,5つ星ホテルのバー カジュアルシーンもお気軽に。他レストランのアラカルトも贅沢に楽しめる,3.65,"￥4,000～￥4,999","￥5,000～￥5,999"
やきとん 八十五 京橋店,https://tabelog.com/tokyo/A1302/A130202/13274790/,京橋駅 169m / 居酒屋、焼き鳥、もつ焼き,京橋駅1分・席数110席に拡大！絶品のやきとんが1本120円〜♪35～60名様まで貸切可◎,3.41,～￥999,"￥2,000～￥2,999"
広東料理 センス,https://tabelog.com/tokyo/A1302/A130202/13020361/,三越前駅 199m / 中華料理、飲茶・点心,東京スカイツリーを借景にする、広東料理「センス」,3.96,"￥8,000～￥9,999","￥15,000～￥19,999"
B by The Brooklyn Brewery,https://tabelog.com/tokyo/A1302/A130202/13244127/,茅場町駅 313m / ビアバー、メキシコ料理、ダイニングバー,日本橋・茅場町駅4分◆ビールづくりの町ブルックリンの傑作クラフトビールをお楽しみください。,3.56,"￥1,000～￥1,999","￥3,000～￥3,999"
仙台牛タンと旨とろ馬刺し 個室居酒屋 万福 東京駅八重洲店,https://tabelog.com/tokyo/A1302/A130202/13309772/,日本橋駅 307m / 居酒屋、日本料理、焼き鳥,"【夜景個室×牛タン×馬刺し】ゆったり3時間飲み放題付きコース4,980円～!!",,"￥3,000～￥3,999","￥4,000～￥4,999"
鶴の家,https://tabelog.com/tokyo/A1302/A130202/13073523/,日本橋駅 346m / 日本料理,100年以上の歴史をもつ老舗店◆季節を感じられる板長自慢の割烹料理を肩肘張らずに。個室完備,3.3,"￥1,000～￥1,999","￥8,000～￥9,999"
京橋 寿司 ひさ田,https://tabelog.com/tokyo/A1302/A130202/13276775/,京橋駅 78m / 寿司、日本料理、居酒屋,静謐なカウンターと贅沢な個室で妙技に酔う正統派江戸前鮨。おまかせコースは8800円より,3.37,"￥4,000～￥4,999","￥8,000～￥9,999"
東京 京橋 蟹ひで,https://tabelog.com/tokyo/A1302/A130202/13306018/,京橋駅 97m / かに、日本料理、鍋,【職人技が光る極上の一皿】蟹会席コースは9000円より 四季の恵みを堪能し贅沢なひとときを。,3.1,"￥4,000～￥4,999","￥10,000～￥14,999"
鮨うら山 日本橋,https://tabelog.com/tokyo/A1302/A130202/13251179/,日本橋駅 40m / 寿司、日本料理,東京メトロ銀座線、東西線、都営地下鉄浅草線「日本橋」駅直結白木を基調とした和モダンなお店,3.37,"￥4,000～￥4,999","￥10,000～￥14,999"
パエリア専門店ミゲルフアニ東京 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13225419/,日本橋駅 116m / スペイン料理、バル、イタリアン,パエリア国際コンテストで世界一に輝いたスペイン・バレンシアで人気のパエリア専門店！,3.36,"￥1,000～￥1,999","￥4,000～￥4,999"
京都石塀小路豆ちゃ 日本橋,https://tabelog.com/tokyo/A1302/A130202/13158059/,日本橋駅 34m / 日本料理、海鮮、居酒屋,【個室あり／日本橋駅直結】和モダンな空間、手間ひま掛けて作られた京おばんざいを楽しめる和食,3.37,"￥1,000～￥1,999","￥4,000～￥4,999"
LOBBY LOUNGE 東京 HIBIYA BAR,https://tabelog.com/tokyo/A1302/A130202/13230389/,京橋駅 54m / ダイニングバー、バル、バー,駅直結♪京橋エドグラン3F(京橋駅1分/東京駅5分)★完全個室4名様〜電話予約で受付中★,3.27,-,"￥4,000～￥4,999"
馬刺しと博多天神もつ鍋 本格九州料理 個室居酒屋 京桜 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13276943/,日本橋駅 201m / 居酒屋、ダイニングバー,2時間飲み放題｜当店名物！宮崎県産あじ豚の炭火ゴロ焼きなど含む全8品『紫陽花コース』,3,"￥4,000～￥4,999","￥4,000～￥4,999"
BOMBAY SIZZLERS,https://tabelog.com/tokyo/A1302/A130202/13263306/,京橋駅 162m / インド料理、インドカレー、アジア・エスニック,【京橋駅直結】◆百名店に選出されたボンベイが贈る、新感覚モダンインディアン,3.49,"￥1,000～￥1,999","￥3,000～￥3,999"
THE R.C. GATE 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13276554/,日本橋駅 322m / バル、居酒屋、ビアバー,【東京駅日本橋口1分】ブリティッシュパブで本場を感じるクラフトビール＆料理,3.29,"￥1,000～￥1,999","￥3,000～￥3,999"
築地 十干 京橋店,https://tabelog.com/tokyo/A1302/A130202/13235521/,京橋駅 109m / 居酒屋、寿司、海鮮,東京メトロ 京橋駅直結◆毎朝築地で仕入れる鮮魚を使った逸品を厳選地酒とともに堪能。,3.36,"￥1,000～￥1,999","￥3,000～￥3,999"
鳥虜 八重洲本店,https://tabelog.com/tokyo/A1302/A130202/13287586/,日本橋駅 197m / 居酒屋、ダイニングバー、焼き鳥,インボイス対応！東京駅＆日本橋駅近の完全個室居酒屋！ 炭火野菜巻きと焼き鳥が美味い店！,3,"￥3,000～￥3,999","￥3,000～￥3,999"
焼肉Nikushin 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13252668/,東京駅 372m / 焼肉、ホルモン、居酒屋,■東京駅徒歩3分■国産黒毛和牛のステーキなど選りすぐりのお肉をリーズナブルにご提供,3.18,"￥1,000～￥1,999","￥3,000～￥3,999"
龍記 京橋店,https://tabelog.com/tokyo/A1302/A130202/13172272/,銀座一丁目駅 168m / 居酒屋、中華料理、火鍋,"【京橋駅4分】本格中華をリーズナブルに♪2H食べ飲み放題コース4,380円！コロナ対策◎",3.21,～￥999,"￥3,000～￥3,999"
ピッツェリア ポンテチェントロ 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13250714/,三越前駅 95m / ピザ、イタリアン、パスタ,石窯焼きのナポリ風ピッツァや世界のワインを味わえます,3.45,"￥1,000～￥1,999","￥4,000～￥4,999"
Yakiniku BarBies,https://tabelog.com/tokyo/A1302/A130202/13219732/,三越前駅 162m / 焼肉、ホルモン,限定コース！！【五感で食べる究極の焼肉】三越前徒歩1分◆目利きが選ぶ極上の生肉&極上焼肉,3.56,-,"￥8,000～￥9,999"
近江牛岡喜 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13254440/,日本橋駅 35m / ステーキ,【日本橋駅直結】牧場直営店◆滋賀直送の上質な“近江牛”を活かした肉料理を贅沢に堪能◎個室有,3.42,"￥2,000～￥2,999","￥10,000～￥14,999"
ニホンバシ イチノイチノイチ,https://tabelog.com/tokyo/A1302/A130202/13050975/,日本橋駅 196m / 居酒屋、日本料理、海鮮,特別な空間でおいしい和食を〈会食、二次会、お一人で軽く１杯〉日本橋・三越前・東京 各駅より,3.47,"￥2,000～￥2,999","￥5,000～￥5,999"
個室居酒屋鳥八 八重洲店,https://tabelog.com/tokyo/A1302/A130202/13253686/,日本橋駅 279m / 居酒屋、日本料理、焼き鳥,◆日本橋駅 徒歩2分/東京駅 徒歩4分/八重洲×個室×宴会◆【貸切】20名～81名様予約受付中,3,"￥2,000～￥2,999","￥3,000～￥3,999"
京橋 鮨 好日,https://tabelog.com/tokyo/A1302/A130202/13288676/,京橋駅 57m / 寿司、海鮮、日本料理,【営業再開のお知らせ】,3.14,"￥5,000～￥5,999","￥15,000～￥19,999"
鮨 むとう,https://tabelog.com/tokyo/A1302/A130202/13284188/,日本橋駅 130m / 寿司,米酢の効いたシャリと藤田まぐろをはじめとする新鮮な魚介を日本酒とワインで楽しむ江戸前鮨,3.55,-,"￥30,000～￥39,999"
シロッコ,https://tabelog.com/tokyo/A1302/A130202/13157368/,日本橋駅 62m / スペイン料理、イタリアン、ダイニングバー,夜景を眺めながら楽しめるダイニング、夜は17時から営業中,3.39,"￥1,000～￥1,999","￥4,000～￥4,999"
グリル満天星 麻布十番 日本橋三越店,https://tabelog.com/tokyo/A1302/A130202/13025634/,三越前駅 56m / 洋食、フレンチ、ビストロ,★日本橋三越★夏を堪能【プティコース】がおすすめ！同窓会や歓送迎会のご予約承り中！,3.33,"￥1,000～￥1,999","￥3,000～￥3,999"
炭火焼ホルモン ぐう 日本橋,https://tabelog.com/tokyo/A1302/A130202/13143194/,日本橋駅 316m / 焼肉、ホルモン、居酒屋,【歓送迎会予約受付中】強力ダクトで換気バッチリ！毎日届く新鮮なホルモンでお待ちしております,3.37,-,"￥4,000～￥4,999"
カキ酒場 北海道厚岸 日本橋本店,https://tabelog.com/tokyo/A1302/A130202/13144578/,日本橋駅 202m / 居酒屋、海鮮、郷土料理,【産地直送】 厚岸の 『牡蠣』 食材にとことんこだわる、、自然の恵みをそのまま堪能できるお店！,3.51,"￥1,000～￥1,999","￥5,000～￥5,999"
焼肉 房家 日本橋店,https://tabelog.com/tokyo/A1302/A130202/13117977/,三越前駅 129m / 焼肉、居酒屋、ホルモン,【元祖和牛一頭買い焼肉店】 駅近◆最上級A5ランク黒毛和牛をお手頃価格で！〆は名物盛岡冷麺◎,3.46,"￥1,000～￥1,999","￥4,000～￥4,999"
